Hit by Obsticles,Arrow ussage,SLash Usage,Sheild,arrow hit,slash hit,shield hit
6,5,7,3,5,5,7
10,5,7,3,5,5,4
12,4,4,0,4,3,0
2,3,6,0,3,6,0
6,1,4,0,1,4,0
6,3,3,0,3,3,0
15,2,2,2,2,0,3
9,3,3,2,3,2,3
7,5,3,1,5,1,2
11,5,4,2,4,1,2
11,5,4,2,5,1,4
11,3,3,1,3,3,1
6,3,4,0,3,3,0
3,1,3,0,1,3,0
2,3,3,0,3,3,0
8,0,2,0,0,1,0
4,3,3,0,3,3,0
7,2,2,1,2,2,2
5,0,2,0,0,2,0
4,4,3,0,4,3,0
4,2,1,0,2,1,0
2,0,2,0,0,2,0
4,4,4,4,4,3,3
3,1,1,1,1,0,2
1,3,2,2,2,2,3
10,3,2,2,3,2,4
2,3,1,0,3,1,0
7,5,3,3,5,2,3
6,3,6,0,2,5,0
3,0,3,0,0,3,0
3,4,3,0,3,3,0
3,2,3,0,2,2,0
6,5,4,1,5,3,0
0,2,4,0,2,4,0
3,2,4,0,2,4,0
3,4,3,0,4,3,0
8,2,4,0,2,4,0
1,2,3,3,2,3,2
2,5,4,2,5,4,2
2,2,5,3,2,5,3
2,1,2,2,1,2,2
3,1,3,0,1,2,0
0,4,3,2,3,3,2
7,2,1,2,2,1,2
1,1,3,0,1,3,0
39,5,5,1,5,4,0
2,3,7,1,3,7,1
2,2,1,1,2,1,0
1,5,3,1,4,3,1
3,2,1,1,2,1,0
3,1,2,0,1,2,0
2,1,3,0,1,3,0
6,1,2,1,0,1,0
6,5,14,0,4,14,0
9,3,6,0,3,6,0
8,2,0,0,2,0,0
8,5,8,6,4,4,2
13,0,12,3,0,11,3
7,4,11,6,3,10,5
9,2,9,4,2,7,4
12,1,0,1,0,0,1
13,5,0,3,2,0,3
19,5,0,3,5,0,1
2,0,0,0,0,0,0
5,0,0,0,0,0,0
12,5,14,2,5,1,0
1,4,2,0,4,1,0
4,5,7,4,5,7,2
3,5,20,5,5,17,4
8,5,4,0,5,4,0
4,5,13,1,5,13,1
0,3,5,0,3,4,0
5,3,13,0,2,11,0
3,5,8,2,5,7,2
2,0,3,0,0,3,0
0,1,3,1,1,3,1
0,2,4,1,2,4,1
3,2,13,5,2,12,5
1,1,6,1,1,6,0
0,2,2,0,2,2,0
0,0,6,0,0,6,0
2,4,4,1,4,4,0
2,5,5,2,5,5,3
1,1,10,1,1,8,1
1,2,5,4,2,5,1
2,2,5,3,2,4,0
3,0,2,5,0,1,12
0,0,0,0,0,0,0
1,0,12,6,0,8,6
1,4,7,2,4,6,1
0,0,7,1,0,7,1
4,0,7,1,0,7,1
0,0,0,0,0,0,0
3,5,12,0,5,11,0
0,0,0,0,0,0,0
